Song, Author
Heroes, David Bowie
the breakup song, Greg Kihn Band
My Happy Ending, Avril Lavigne
New Divide, Linkin Park
The Saltwater Room, Owl City
Sail, AWOLNATION
We Are Young, Fun.
Call Me Maybe, Carly Rae Jepsen
Cool Kids, Echosmith
Ain't It Fun, Paramore
Rather Be, Clean Bandit
Impossible, James Arthur
Start a riot, Jetta
Can't feel my face, the weeknd
Lift your spirit, Aloe Blacc
Reflections, Mister Wives
Believer, American Authors
Clown, AMPOP
Photograph, Ed Sheeran
Stolen Dance, Milky Chance
Prayer in C, Robin Schulz Remix
One Call Away, Charlie Puth
Reality, Lost Frequencies
I Took A Pill In Ibiza, Mike Posner
7 Years, Lukas Graham
Stressed Out, 21 Pilots
Heathens, 21 Pilots
New Rules, Dua Lipa
Lil Mama, Jain
NUMB, XXXTENTACION
Dance Monkey, Tones And I
